x	k=4	k=3	k=2	k=1
2.4097	-5.7627	-10.5499	-25.2369	-14.1954
2.4255	-12.6878	-8.0337	-29.2362	-13.2389
2.4413	-16.4304	-11.196	-30.0794	-15.0395
2.457	-9.4205	-8.5867	-28.6397	-17.9488
2.4728	-9.2918	-14.3493	-21.842	-23.4163
2.4885	-14.8488	-12.5164	-18.2187	-17.3714
2.5042	-13.034	-10.0212	-20.2399	-16.8494
2.52	-12.4476	-14.4566	-22.0576	-28.9763
2.5357	-19.356	-11.1799	-19.0079	-22.7561
2.5515	-13.5292	-14.8071	-17.9504	-26.3428
2.5673	-15.8924	-18.8049	-18.2551	-27.1804
2.583	-9.6762	-11.3361	-20.9445	-19.0896
2.5987	-15.0271	-13.7256	-23.5033	-19.0465
2.6145	-20.5245	-16.262	-23.6408	-19.5843
2.6302	-14.0452	-15.5477	-23.3352	-21.5197
2.646	-18.5476	-12.3417	-21.4329	-20.1508
2.6618	-14.2526	-24.7659	-19.7105	-23.1844
2.6775	-9.2089	-12.2094	-23.1839	-25.0064
2.6932	-8.13	-17.0607	-21.2964	-27.6019
2.709	-10.8286	-14.0678	-22.4659	-30.6656
2.7248	-12.7705	-9.6689	-21.2587	-48.9241
2.7405	-10.217	-11.1647	-19.9464	-23.1431
2.7562	-11.2983	-16.1292	-19.9693	-22.8624
2.772	-11.8455	-18.1618	-22.9178	-33.1375
2.7878	-7.8538	-18.5942	-24.9306	-26.9842
2.8035	-6.9333	-22.4947	-24.4916	-29.6885
2.8193	-11.3005	-18.5184	-23.3378	-30.0498
2.835	-17.1967	-14.1534	-23.9209	-31.3508
2.8507	-9.2274	-13.4347	-25.3948	-41.4841
2.8665	-9.1327	-16.3131	-26.1395	-27.3438
2.8823	-10.3606	-29.4505	-32.6749	-24.6364
2.898	-10.1309	-29.483	-29.122	-30.4954
2.9137	-9.2363	-28.6223	-26.7105	-28.9009
2.9295	-13.3031	-19.0433	-23.7796	-31.3193
2.9452	-15.9055	-18.6855	-25.1431	-34.2947
2.961	-14.4123	-19.0077	-24.908	-38.6933
2.9768	-11.482	-18.7995	-25.2333	-35.9016
2.9925	-12.765	-16.8575	-29.3201	-41.2164
3.0082	-12.0341	-17.5992	-30.1959	-32.1292
3.024	-8.9886	-22.3751	-32.9785	-30.0143
3.0398	-10.1034	-24.2848	-31.5549	-33.2482
3.0555	-13.3665	-21.579	-27.3961	-44.0609
3.0712	-13.9505	-29.6345	-27.4082	-33.7503
3.087	-19.7978	-20.1856	-27.4621	-34.2199
3.1027	-23.4895	-14.1277	-28.4478	-36.4623
3.1185	-14.7134	-12.3195	-28.8893	-32.1489
3.1343	-11.039	-13.6069	-30.0518	-32.7443
3.15	-5.6288	-21.2464	-32.975	-28.2775
3.1657	-3.7429	-20.9993	-54.7847	-36.8536
