x	1.05w0	1.1w0	1.5w0
0.14844	0.75826	0.55708	0.64318
0.15234	0.88188	0.38356	0.16644
0.15625	1.1981	1.2756	0.95431
0.16016	1.4868	2.0008	1.6225
0.16406	1.6297	2.4282	2.0498
0.16797	1.5792	2.475	2.1572
0.17187	1.3468	2.1169	1.9152
0.17578	1.0286	1.3947	1.3497
0.17969	0.87992	0.41345	0.54261
0.18359	1.1294	0.70012	0.40929
0.1875	1.5519	1.7402	1.3136
0.19141	1.8961	2.5503	2.0502
0.19531	2.0381	2.9842	2.4856
0.19922	1.9306	2.9506	2.5333
0.20313	1.5997	2.4289	2.1657
0.20703	1.1927	1.4761	1.4218
0.21094	1.0932	0.22989	0.41349
0.21484	1.5192	1.1533	0.7644
0.21875	2.0972	2.4226	1.851
0.22266	2.534	3.3785	2.705
0.22656	2.687	3.843	3.1671
0.23047	2.5017	3.705	3.1343
0.23438	2.0214	2.9424	2.5771
0.23828	1.4762	1.6316	1.5501
0.24219	1.4705	0.081639	0.24237
0.24609	2.1877	1.8861	1.3565
0.25	3.0437	3.5612	2.7716
0.25391	3.6694	4.7998	3.8557
0.25781	3.8743	5.3578	4.3951
0.26172	3.5763	5.0756	4.2457
0.26562	2.8313	3.9093	3.3587
0.26953	2.0174	1.9488	1.7998
0.27344	2.2186	0.58473	0.36963
0.27734	3.5714	3.3495	2.5935
0.28125	5.1014	5.9335	4.7721
0.28516	6.2679	7.8927	6.4656
0.28906	6.7405	8.8133	7.3154
0.29297	6.3111	8.3692	7.0306
0.29688	4.9631	6.3717	5.4297
0.30078	3.3366	2.8058	2.4778
0.30469	4.2806	2.1542	1.7814
0.30859	8.2095	8.152	6.9511
0.3125	13.1777	14.6789	12.7244
0.31641	18.406	21.1249	18.5982
0.32031	23.382	26.8439	24.0447
0.32422	27.6648	31.2258	28.5554
0.32813	30.8871	33.7675	31.698
0.33203	32.7845	34.134	33.1659
0.33594	33.221	32.2006	32.8139
0.33984	32.2043	28.073	30.6757
0.34375	29.8866	22.0819	26.9604
0.34766	26.552	14.7581	22.0286
0.35156	22.5926	6.8378	16.3517
0.35547	18.4776	2.4497	10.4586
0.35938	14.7122	9.0617	4.8832
0.36328	11.762	14.9988	0.59926
0.36719	9.8775	19.2002	3.7382
0.37109	8.8744	21.3628	6.1004
0.375	8.225	21.4339	7.1035
0.37891	7.4624	19.5842	6.8486
0.38281	6.4081	16.1746	5.5814
0.38672	5.1653	11.7068	3.6544
0.39063	4.0753	6.7584	1.5497
0.39453	3.6089	1.918	1.2295
0.39844	3.8677	2.3203	2.7896
0.40234	4.3673	5.5082	3.8844
0.40625	4.653	7.4226	4.2608
0.41016	4.532	7.989	3.9213
0.41406	4.0028	7.3068	3.013
0.41797	3.2087	5.6215	1.8528
0.42188	2.451	3.2831	1.2691
0.42578	2.183	0.70079	1.9804
0.42969	2.5278	1.7674	2.8228
0.43359	3.0364	3.7314	3.242
0.4375	3.3446	4.9714	3.1209
0.44141	3.3134	5.3654	2.544
0.44531	2.9439	4.9223	1.8715
0.44922	2.3466	3.7704	1.888
0.45313	1.7655	2.1314	2.6888
0.45703	1.5954	0.29899	3.494
0.46094	1.9341	1.503	3.8344
0.46484	2.385	2.9398	3.4964
0.46875	2.6576	3.848	2.5059
0.47266	2.645	4.1218	1.787
0.47656	2.3489	3.7559	3.4914
0.48047	1.8603	2.84	6.4233
0.48438	1.3873	1.5412	9.6243
0.48828	1.2781	0.12262	12.6528
0.49219	1.5995	1.3448	15.1576
0.49609	1.9974	2.4829	16.8576
0.5	2.2341	3.1934	17.5642
0.50391	2.2235	3.3873	17.1998
0.50781	1.9688	3.0575	15.8057
0.51172	1.5488	2.2761	13.5348
0.51563	1.1487	1.1807	10.6327
0.51953	1.0816	0.10939	7.4102
0.52344	1.3855	1.239	4.2254
0.52734	1.7407	2.1842	1.6433
0.53125	1.9473	2.7634	1.8585
0.53516	1.9342	2.9012	3.3213
0.53906	1.7057	2.5918	4.1712
0.54297	1.3329	1.8974	4.2856
0.54688	0.98552	0.9375	3.757
0.55078	0.9493	0.16562	2.7772
0.55469	1.2377	1.1636	1.6482
0.55859	1.5587	1.9739	1.0748
0.5625	1.7409	2.4597	1.6682
0.56641	1.724	2.5561	2.3852
0.57031	1.5135	2.2592	2.7702
0.57422	1.1752	1.6256	2.7407
0.57813	0.86779	0.76235	2.3354
0.58203	0.85525	0.21732	1.6826
0.58594	1.1302	1.1078	1.0551
0.58984	1.4237	1.8185	1.023
0.59375	1.586	2.2345	1.5245
0.59766	1.5651	2.299	1.9767
0.60156	1.3675	2.0104	2.1726
0.60547	1.0554	1.4213	2.069
0.60938	0.77954	0.63017	1.7056
0.61328	0.7858	0.25916	1.203
0.61719	1.0492	1.0654	0.84174
0.62109	1.3203	1.6999	1.0005
0.625	1.4662	2.0618	1.413
