x	L=41	L=21	L=11
0.47852	-64.22	-59.7483	-43.6155
0.48047	-64.674	-59.6154	-43.5919
0.48242	-65.304	-59.5298	-43.5892
0.48438	-66.1363	-59.4895	-43.6065
0.48633	-67.2121	-59.4934	-43.643
0.48828	-68.5986	-59.5405	-43.6981
0.49023	-70.412	-59.6304	-43.7711
0.49219	-72.8769	-59.7632	-43.8618
0.49414	-76.516	-59.9393	-43.9697
0.49609	-83.1306	-60.1596	-44.0946
0.49805	-99.6411	-60.4255	-44.2364
0.5	-80.9354	-60.7391	-44.395
0.50195	-75.5429	-61.1029	-44.5704
0.50391	-72.3617	-61.5202	-44.7628
0.50586	-70.1657	-61.9955	-44.9722
0.50781	-68.5456	-62.5341	-45.199
0.50977	-67.315	-63.1432	-45.4435
0.51172	-66.3738	-63.832	-45.7062
0.51367	-65.663	-64.6125	-45.9877
0.51563	-65.1459	-65.5008	-46.2886
0.51758	-64.7993	-66.5193	-46.6098
0.51953	-64.6087	-67.6997	-46.9522
0.52148	-64.5663	-69.0893	-47.317
0.52344	-64.6696	-70.7631	-47.7056
0.52539	-64.9208	-72.8502	-48.1194
0.52734	-65.3279	-75.6034	-48.5604
0.5293	-65.9051	-79.6331	-49.0307
0.53125	-66.6753	-87.2659	-49.533
0.5332	-67.6751	-95.4948	-50.0704
0.53516	-68.9628	-82.4101	-50.6466
0.53711	-70.6373	-77.5016	-51.2661
0.53906	-72.883	-74.4608	-51.9347
0.54102	-76.1022	-72.2808	-52.6592
0.54297	-81.4913	-70.6022	-53.4484
0.54492	-99.2614	-69.2552	-54.3137
0.54688	-84.1307	-68.1456	-55.2701
0.54883	-77.4778	-67.216	-56.3379
0.55078	-73.8691	-66.429	-57.5454
0.55273	-71.4495	-65.7585	-58.9344
0.55469	-69.6867	-65.1861	-60.5691
0.55664	-68.3531	-64.698	-62.557
0.55859	-67.331	-64.2839	-65.0986
0.56055	-66.5526	-63.9359	-68.6399
0.5625	-65.9761	-63.6479	-74.5759
0.56445	-65.575	-63.4148	-103.2377
0.56641	-65.3326	-63.2331	-75.4176
0.56836	-65.2393	-63.0996	-69.3147
0.57031	-65.291	-63.0122	-65.8306
0.57227	-65.4885	-62.9691	-63.4021
0.57422	-65.8377	-62.9692	-61.5494
0.57617	-66.3505	-63.0117	-60.061
0.57813	-67.0465	-63.0963	-58.8244
0.58008	-67.9566	-63.2232	-57.7728
0.58203	-69.13	-63.3928	-56.8633
0.58398	-70.6482	-63.6061	-56.0665
0.58594	-72.6565	-63.8646	-55.3616
0.58789	-75.4521	-64.1702	-54.7333
0.58984	-79.8039	-64.5257	-54.1699
0.5918	-89.2602	-64.9342	-53.6623
0.59375	-89.4703	-65.4003	-53.2033
0.5957	-79.9367	-65.9294	-52.7873
0.59766	-75.6069	-66.5284	-52.4095
0.59961	-72.8476	-67.2066	-52.066
0.60156	-70.8802	-67.9759	-51.7536
0.60352	-69.405	-68.8523	-51.4695
0.60547	-68.2754	-69.8579	-51.2115
0.60742	-67.4096	-71.0239	-50.9774
0.60937	-66.7581	-72.3971	-50.7658
0.61133	-66.2897	-74.0512	-50.5749
0.61328	-65.9846	-76.1127	-50.4036
0.61523	-65.8309	-78.8279	-50.2508
0.61719	-65.8225	-82.7861	-50.1153
0.61914	-65.9583	-90.1769	-49.9965
0.62109	-66.2421	-99.9307	-49.8935
0.62305	-66.6833	-85.9435	-49.8056
0.625	-67.298	-80.9221	-49.7323
0.62695	-68.1118	-77.8322	-49.6731
0.62891	-69.1653	-75.6219	-49.6275
0.63086	-70.5238	-73.9214	-49.595
0.63281	-72.3002	-72.5565	-49.5755
0.63477	-74.7105	-71.4317	-49.5685
0.63672	-78.251	-70.4885	-49.5739
0.63867	-84.5782	-69.689	-49.5914
0.64063	-106.1587	-69.0069	-49.6208
0.64258	-83.2861	-68.4234	-49.6621
0.64453	-77.6769	-67.9248	-49.7151
0.64648	-74.4067	-67.5007	-49.7798
0.64844	-72.1554	-67.1429	-49.8562
0.65039	-70.4934	-66.8453	-49.9442
0.65234	-69.2271	-66.6031	-50.0439
0.6543	-68.2534	-66.4124	-50.1555
0.65625	-67.5117	-66.2702	-50.2789
0.6582	-66.9641	-66.1743	-50.4144
0.66016	-66.5867	-66.123	-50.5622
0.66211	-66.3645	-66.115	-50.7224
0.66406	-66.289	-66.1497	-50.8954
0.66602	-66.357	-66.2267	-51.0815
0.66797	-66.5703	-66.3462	-51.281
0.66992	-66.9355	-66.5086	-51.4945
0.67188	-67.4653	-66.715	-51.7223
0.67383	-68.1806	-66.9669	-51.9651
0.67578	-69.1142	-67.2663	-52.2235
0.67773	-70.3181	-67.6157	-52.4983
0.67969	-71.879	-68.0187	-52.7902
0.68164	-73.9539	-68.4795	-53.1004
0.68359	-76.87	-69.0038	-53.4297
0.68555	-81.5091	-69.5986	-53.7796
0.6875	-92.5533	-70.2733	-54.1514
0.68945	-88.6198	-71.0398	-54.5468
0.69141	-80.2763	-71.9145	-54.9679
0.69336	-76.2015	-72.9198	-55.4167
0.69531	-73.5521	-74.0874	-55.8962
0.69727	-71.645	-75.465	-56.4093
0.69922	-70.2072	-77.1279	-56.9599
0.70117	-69.1026	-79.2063	-57.5527
0.70313	-68.2543	-81.9548	-58.1932
0.70508	-67.6154	-85.9909	-58.8885
0.70703	-67.1563	-93.6866	-59.6474
0.70898	-66.8581	-101.4452	-60.4813
0.71094	-66.7096	-88.6009	-61.4051
0.71289	-66.7051	-83.7115	-62.439
0.71484	-66.844	-80.6706	-63.6115
0.7168	-67.1305	-78.4851	-64.964
0.71875	-67.5741	-76.799	-66.5604
0.7207	-68.1913	-75.4433	-68.5078
0.72266	-69.0083	-74.3247	-71.0048
0.72461	-70.0661	-73.3861	-74.4931
0.72656	-71.4315	-72.5901	-80.3453
0.72852	-73.2194	-71.9109	-106.8476
0.73047	-75.6511	-71.3301	-81.3042
0.73242	-79.2392	-70.8341	-75.1089
0.73438	-85.728	-70.4126	-71.5671
0.73633	-103.8857	-70.0576	-69.0887
0.73828	-83.8474	-69.7632	-67.1889
0.74023	-78.3583	-69.5245	-65.6544
0.74219	-75.127	-69.3379	-64.3719
0.74414	-72.8926	-69.2003	-63.2745
0.74609	-71.2385	-69.1097	-62.3189
0.74805	-69.9753	-69.0644	-61.4757
0.75	-69.0019	-69.0634	-60.724
0.75195	-68.2584	-69.1061	-60.0483
0.75391	-67.7079	-69.1922	-59.437
0.75586	-67.3264	-69.3221	-58.881
0.75781	-67.0993	-69.4965	-58.3732
0.75977	-67.0181	-69.7166	-57.9076
0.76172	-67.0797	-69.9842	-57.4796
0.76367	-67.2857	-70.3016	-57.0854
0.76563	-67.6428	-70.6719	-56.7216
0.76758	-68.1636	-71.0991	-56.3855
0.76953	-68.8687	-71.5882	-56.0748
0.77148	-69.7904	-72.1457	-55.7874
0.77344	-70.98	-72.78	-55.5217
0.77539	-72.5227	-73.5021	-55.276
0.77734	-74.5722	-74.3265	-55.0492
0.7793	-77.447	-75.2731	-54.8401
0.78125	-81.9956	-76.3699	-54.6476
0.7832	-92.5351	-77.6579	-54.4708
0.78516	-89.7668	-79.2007	-54.3091
0.78711	-81.1186	-81.104	-54.1616
0.78906	-76.9679	-83.5648	-54.0278
0.79102	-74.2802	-87.0191	-53.9071
0.79297	-72.3478	-92.8136	-53.7991
0.79492	-70.8905	-117.3588	-53.7032
