x	beta=6	beta=3	beta=0
0.38086	-57.6818	-41.5855	-71.7206
0.38281	-57.1632	-43.1209	-45.7445
0.38477	-56.73	-45.0143	-39.5656
0.38672	-56.3718	-47.4618	-36.0414
0.38867	-56.0809	-50.8974	-33.5875
0.39063	-55.8512	-56.6578	-31.7202
0.39258	-55.6778	-80.5499	-30.2264
0.39453	-55.5572	-57.9344	-28.9935
0.39648	-55.4864	-51.661	-27.9544
0.39844	-55.4635	-48.1107	-27.0662
0.40039	-55.4869	-45.6478	-26.2997
0.40234	-55.5557	-43.7786	-25.6342
0.4043	-55.6694	-42.2871	-25.0545
0.40625	-55.828	-41.0591	-24.5491
0.4082	-56.032	-40.027	-24.1094
0.41016	-56.2826	-39.1474	-23.7284
0.41211	-56.5811	-38.3909	-23.4007
0.41406	-56.9299	-37.7368	-23.1221
0.41602	-57.3319	-37.1698	-22.8891
0.41797	-57.7908	-36.6783	-22.6989
0.41992	-58.3116	-36.2538	-22.5494
0.42188	-58.9006	-35.8892	-22.4388
0.42383	-59.5659	-35.5793	-22.366
0.42578	-60.3184	-35.3197	-22.3299
0.42773	-61.1723	-35.1071	-22.3299
0.42969	-62.147	-34.9389	-22.3659
0.43164	-63.27	-34.8129	-22.4378
0.43359	-64.5812	-34.7275	-22.546
0.43555	-66.1425	-34.6816	-22.691
0.4375	-68.0565	-34.6744	-22.8739
0.43945	-70.5127	-34.7056	-23.0959
0.44141	-73.9254	-34.775	-23.359
0.44336	-79.5404	-34.883	-23.6653
0.44531	-99.0821	-35.0301	-24.0176
0.44727	-81.8013	-35.2174	-24.4196
0.44922	-75.3247	-35.4463	-24.8756
0.45117	-71.7478	-35.7188	-25.3913
0.45312	-69.3004	-36.0372	-25.9738
0.45508	-67.4642	-36.4048	-26.6321
0.45703	-66.0149	-36.8253	-27.3781
0.45898	-64.8351	-37.3039	-28.2278
0.46094	-63.8555	-37.8467	-29.2027
0.46289	-63.032	-38.4618	-30.3338
0.46484	-62.3346	-39.1597	-31.6665
0.4668	-61.7423	-39.9542	-33.2726
0.46875	-61.2395	-40.8638	-35.2747
0.4707	-60.8149	-41.9147	-37.9088
0.47266	-60.4595	-43.1446	-41.7315
0.47461	-60.1666	-44.6112	-48.7314
0.47656	-59.9309	-46.4089	-61.3243
0.47852	-59.7483	-48.709	-45.4436
0.48047	-59.6154	-51.8738	-40.196
0.48242	-59.5298	-56.9228	-36.9903
0.48438	-59.4895	-70.3589	-34.6947
0.48633	-59.4934	-61.812	-32.9205
0.48828	-59.5405	-54.3544	-31.4869
0.49023	-59.6304	-50.4481	-30.2952
0.49219	-59.7632	-47.8071	-29.2855
0.49414	-59.9393	-45.8272	-28.4189
0.49609	-60.1596	-44.2573	-27.6684
0.49805	-60.4255	-42.9691	-27.015
0.5	-60.7391	-41.8878	-26.4444
0.50195	-61.1029	-40.9663	-25.9459
0.50391	-61.5202	-40.173	-25.5114
0.50586	-61.9955	-39.4854	-25.1342
0.50781	-62.5341	-38.8875	-24.8094
0.50977	-63.1432	-38.367	-24.5327
0.51172	-63.832	-37.9148	-24.301
0.51367	-64.6125	-37.5236	-24.1117
0.51563	-65.5008	-37.1878	-23.9626
0.51758	-66.5193	-36.9028	-23.8522
0.51953	-67.6997	-36.6652	-23.7793
0.52148	-69.0893	-36.4721	-23.7431
0.52344	-70.7631	-36.3212	-23.743
0.52539	-72.8502	-36.2109	-23.7789
0.52734	-75.6034	-36.1398	-23.8507
0.5293	-79.6331	-36.1072	-23.959
0.53125	-87.2659	-36.1124	-24.1045
0.5332	-95.4948	-36.1552	-24.2881
0.53516	-82.4101	-36.2359	-24.5114
0.53711	-77.5016	-36.3548	-24.7761
0.53906	-74.4608	-36.5128	-25.0848
0.54102	-72.2808	-36.7112	-25.4404
0.54297	-70.6022	-36.9514	-25.8466
0.54492	-69.2552	-37.2358	-26.3082
0.54688	-68.1456	-37.567	-26.831
0.54883	-67.216	-37.9484	-27.4225
0.55078	-66.429	-38.3843	-28.0926
0.55273	-65.7585	-38.8802	-28.8538
0.55469	-65.1861	-39.4431	-29.7231
0.55664	-64.698	-40.0818	-30.7242
0.55859	-64.2839	-40.8079	-31.8906
0.56055	-63.9359	-41.6368	-33.2728
0.5625	-63.6479	-42.5897	-34.9516
0.56445	-63.4148	-43.6964	-37.0685
0.56641	-63.2331	-45.0011	-39.9065
0.56836	-63.0996	-46.5728	-44.1807
0.57031	-63.0122	-48.5285	-52.9758
0.57227	-62.9691	-51.0912	-55.495
0.57422	-62.9692	-54.7755	-45.0697
0.57617	-63.0117	-61.3316	-40.5049
0.57813	-63.0963	-79.3482	-37.5658
0.58008	-63.2232	-59.4283	-35.411
0.58203	-63.3928	-53.8982	-33.7228
0.58398	-63.6061	-50.5858	-32.3466
0.58594	-63.8646	-48.2326	-31.1955
0.58789	-64.1702	-46.4216	-30.2158
0.58984	-64.5257	-44.9622	-29.3718
0.5918	-64.9342	-43.7512	-28.6389
0.59375	-65.4003	-42.7266	-27.9993
0.5957	-65.9294	-41.8481	-27.4397
0.59766	-66.5284	-41.0882	-26.9502
0.59961	-67.2066	-40.4273	-26.5229
0.60156	-67.9759	-39.8507	-26.1518
0.60352	-68.8523	-39.3477	-25.8319
0.60547	-69.8579	-38.9098	-25.5594
0.60742	-71.0239	-38.5305	-25.3312
0.60937	-72.3971	-38.2045	-25.1449
0.61133	-74.0512	-37.9278	-24.9985
0.61328	-76.1127	-37.6971	-24.8904
0.61523	-78.8279	-37.5098	-24.8197
0.61719	-82.7861	-37.3638	-24.7855
0.61914	-90.1769	-37.2576	-24.7874
0.62109	-99.9307	-37.1901	-24.8253
0.62305	-85.9435	-37.1604	-24.8993
0.625	-80.9221	-37.1682	-25.0098
0.62695	-77.8322	-37.2133	-25.1578
0.62891	-75.6219	-37.296	-25.3443
0.63086	-73.9214	-37.4168	-25.5709
0.63281	-72.5565	-37.5766	-25.8395
0.63477	-71.4317	-37.7767	-26.1528
0.63672	-70.4885	-38.0188	-26.5137
0.63867	-69.689	-38.3052	-26.9264
0.64063	-69.0069	-38.6387	-27.3957
0.64258	-68.4234	-39.0229	-27.9279
0.64453	-67.9248	-39.4622	-28.531
0.64648	-67.5007	-39.9624	-29.2153
0.64844	-67.1429	-40.5304	-29.9944
0.65039	-66.8453	-41.1757	-30.8866
0.65234	-66.6031	-41.9103	-31.9174
0.6543	-66.4124	-42.7504	-33.1237
0.65625	-66.2702	-43.718	-34.5616
